PN01a,PN13a,PN22c,PN24a,PN30a,PN33a,PN35a,PN42a,PN42b,PN45a,PN45b,PN47a&33b,PN49a,PN59a,PN63a,PN67b,PN74a,PN82a,PN83a,PN85c,PN94a&94b
0,0,0,4,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,9
0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,14,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,14,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,16,9,0,0,4,0,0,0,0
0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,15,0
0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,8,0,14,0,0,0,0,0,8
0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,2,0,0
0,3,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11,0,0,0,0,8,5,0,0,0,0,0,0
0,5,13,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
0,11,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,0,0
0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0
0,2,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,8,0,0,0,0
0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
0,0,0,5,0,0,0,0,9,0,5,5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,8,0,0,14,0,0,0,0,0,10,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,0,8,0,0,14,0,0,0,0,0,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9,0,0,0,0,8,0,0,0,0,0,0,0
0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,16,6,0,0,13,0
6,0,0,0,0,0,0,2,0,0,0,0,0,6,3,0,0,0,0,0,0
0,0,5,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,4,0,0,0,0,0
0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,6,0
0,0,8,0,0,0,13,0,0,0,0,7,0,0,0,0,0,8,0,0,0
4,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8
2,0,0,0,0,0,0,0,2,2,0,3,0,0,0,0,0,0,0,2,0
0,5,6,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,5
0,0,6,0,0,0,0,6,15,0,0,0,11,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,0,14,0
0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,14,0,0,0,0,7
0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,3,2,0
0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,3,0,0,4
0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,8,4,0,0,0,0
6,0,0,6,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0
0,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,9
0,0,6,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,6,0
0,0,0,7,6,0,0,0,0,0,5,0,0,0,5,0,6,0,0,0,0
